accession,full_name,host,vp8_reference,vp8_coverage,vp8_status
LC776503.1,,Sus scrofa,Wa_P8,0.9889705882352942,PASS
LC776515.1,,Sus scrofa,Wa_P8,1.0,PASS
LC776527.1,,Sus scrofa,Wa_P8,1.0,PASS
LC776538.1,,Sus scrofa,Wa_P8,1.0,PASS
LC776549.1,,Sus scrofa,Wa_P8,1.0,PASS
LC777940.1,,Sus scrofa,Wa_P8,0.9926470588235294,PASS
LC777951.1,,Sus scrofa,DS1_P4,1.0,PASS
LC777963.1,,Sus scrofa,Wa_P8,0.9926470588235294,PASS
LC777979.1,,Sus scrofa,Wa_P8,0.9117647058823529,PASS
LC777990.1,,Sus scrofa,Wa_P8,0.9926470588235294,PASS
OP454313.1,,Sus scrofa,DS1_P4,1.0,PASS
OP454314.1,,Sus scrofa,DS1_P4,1.0,PASS
OP454315.1,,Sus scrofa,DS1_P4,1.0,PASS
OP454316.1,,Sus scrofa,DS1_P4,1.0,PASS
OP454317.1,,Sus scrofa,DS1_P4,1.0,PASS
OP454321.1,,Sus scrofa,DS1_P4,1.0,PASS
MT784807.1,,Sus scrofa,Wa_P8,1.0,PASS
MT784808.1,,Sus scrofa,Wa_P8,1.0,PASS
MT784809.1,,Sus scrofa,Wa_P8,1.0,PASS
MT784810.1,,Sus scrofa,Wa_P8,1.0,PASS
MT784811.1,,Sus scrofa,Wa_P8,1.0,PASS
MT784812.1,,Sus scrofa,Wa_P8,1.0,PASS
MT784813.1,,Sus scrofa,Wa_P8,1.0,PASS
MT784814.1,,Sus scrofa,Wa_P8,1.0,PASS
MN102368.1,,Sus scrofa,DS1_P4,1.0,PASS
MK227401.1,,Sus scrofa,DS1_P4,1.0,PASS
MG781055.1,,Sus scrofa,Wa_P8,1.0,PASS
KX988267.1,,Sus scrofa,Wa_P8,0.9632352941176471,PASS
KX988278.1,,Sus scrofa,Wa_P8,0.9963235294117647,PASS
KR052749.1,,Sus scrofa,Wa_P8,1.0,PASS
KR052770.1,,Sus scrofa,DS1_P4,1.0,PASS
KP753009.1,,Sus scrofa,Wa_P8,1.0,PASS
KP753125.1,,Sus scrofa,Wa_P8,1.0,PASS
KM820718.1,,Sus scrofa,Wa_P8,0.9411764705882353,PASS
KM820719.1,,Sus scrofa,Wa_P8,1.0,PASS
KM820720.1,,Sus scrofa,Wa_P8,0.9301470588235294,PASS
KM820722.1,,Sus scrofa,Wa_P8,1.0,PASS
KC610681.1,,Sus scrofa,DS1_P4,1.0,PASS
KC610692.1,,Sus scrofa,Wa_P8,1.0,PASS
KC610703.1,,Sus scrofa,Wa_P8,0.9558823529411765,PASS
KJ752375.1,,Sus scrofa,DS1_P4,1.0,PASS
KJ752488.1,,Sus scrofa,Wa_P8,1.0,PASS
KJ659445.1,,Sus scrofa,Wa_P8,1.0,PASS
DQ629926.1,,Sus scrofa,DS1_P4,0.9669117647058824,PASS
DQ061053.1,,Sus scrofa,DS1_P4,1.0,PASS
PP987322.1,,Bos taurus,DS1_P4,1.0,PASS
PP991470.1,,Bos taurus,DS1_P4,1.0,PASS
PP991481.1,,Bos taurus,DS1_P4,1.0,PASS
LC727728.1,,Bos taurus,DS1_P4,1.0,PASS
LC727979.1,,Bos taurus,Wa_P8,1.0,PASS
OL988911.1,,Bos taurus,DS1_P4,1.0,PASS
MW752841.1,,Bos taurus,DS1_P4,1.0,PASS
MW771120.1,,Bos taurus,Wa_P8,1.0,PASS
MW771130.1,,Bos taurus,Wa_P8,1.0,PASS
MW771152.1,,Bos taurus,DS1_P4,1.0,PASS
MW771163.1,,Bos taurus,DS1_P4,1.0,PASS
MW771196.1,,Bos taurus,DS1_P4,1.0,PASS
OM643802.1,,Bos taurus,DS1_P4,1.0,PASS
LC590916.1,,Bos taurus,Wa_P8,0.8713235294117647,REVIEW
LC590920.1,,Bos taurus,DS1_P4,0.9595588235294118,PASS
LC590922.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC590924.1,,Bos taurus,DS1_P4,0.9595588235294118,PASS
LC590926.1,,Bos taurus,DS1_P4,0.9595588235294118,PASS
LC590931.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC590934.1,,Bos taurus,DS1_P4,0.9595588235294118,PASS
LC590938.1,,Bos taurus,DS1_P4,0.9595588235294118,PASS
LC590940.1,,Bos taurus,Wa_P8,0.9448529411764706,PASS
LC590944.1,,Bos taurus,Wa_P8,0.9558823529411765,PASS
LC590946.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC590948.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC590950.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC590952.1,,Bos taurus,DS1_P4,0.9595588235294118,PASS
LC590954.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC590956.1,,Bos taurus,Wa_P8,0.9448529411764706,PASS
LC590958.1,,Bos taurus,Wa_P8,0.9522058823529411,PASS
LC590960.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC590962.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC590964.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC590968.1,,Bos taurus,DS1_P4,0.9595588235294118,PASS
LC590970.1,,Bos taurus,DS1_P4,0.9595588235294118,PASS
LC590972.1,,Bos taurus,DS1_P4,0.9595588235294118,PASS
LC590974.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC590976.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC590978.1,,Bos taurus,Wa_P8,0.9411764705882353,PASS
LC590980.1,,Bos taurus,DS1_P4,0.9595588235294118,PASS
LC590983.1,,Bos taurus,Wa_P8,0.9558823529411765,PASS
LC590985.1,,Bos taurus,DS1_P4,0.9595588235294118,PASS
LC590987.1,,Bos taurus,DS1_P4,0.9595588235294118,PASS
LC590989.1,,Bos taurus,DS1_P4,0.9595588235294118,PASS
LC590991.1,,Bos taurus,DS1_P4,0.9595588235294118,PASS
LC590993.1,,Bos taurus,DS1_P4,0.9595588235294118,PASS
LC590995.1,,Bos taurus,DS1_P4,0.9595588235294118,PASS
LC590997.1,,Bos taurus,DS1_P4,0.9595588235294118,PASS
LC590999.1,,Bos taurus,DS1_P4,0.9595588235294118,PASS
LC591001.1,,Bos taurus,DS1_P4,0.9595588235294118,PASS
LC591003.1,,Bos taurus,DS1_P4,0.9595588235294118,PASS
LC591005.1,,Bos taurus,DS1_P4,0.9595588235294118,PASS
LC591007.1,,Bos taurus,DS1_P4,0.9595588235294118,PASS
LC591009.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC591011.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC591014.1,,Bos taurus,DS1_P4,0.9595588235294118,PASS
LC591016.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC591018.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC591020.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC591022.1,,Bos taurus,DS1_P4,0.9595588235294118,PASS
LC591025.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC591027.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC591029.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC591031.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC591033.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC591035.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC591037.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC591039.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC591041.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC591051.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC591053.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC591055.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC591057.1,,Bos taurus,Wa_P8,0.9558823529411765,PASS
LC591059.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC591061.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC591063.1,,Bos taurus,Wa_P8,0.9448529411764706,PASS
LC591065.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC591067.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC591069.1,,Bos taurus,DS1_P4,0.9595588235294118,PASS
LC591071.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC591073.1,,Bos taurus,Wa_P8,0.9669117647058824,PASS
LC591075.1,,Bos taurus,Wa_P8,0.9669117647058824,PASS
LC591079.1,,Bos taurus,Wa_P8,0.8713235294117647,REVIEW
LC591081.1,,Bos taurus,Wa_P8,0.9080882352941176,PASS
LC591083.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC591085.1,,Bos taurus,Wa_P8,0.9669117647058824,PASS
LC591087.1,,Bos taurus,Wa_P8,0.9669117647058824,PASS
LC591090.1,,Bos taurus,Wa_P8,0.8713235294117647,REVIEW
LC591092.1,,Bos taurus,Wa_P8,0.9669117647058824,PASS
LC591094.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC591097.1,,Bos taurus,Wa_P8,0.9669117647058824,PASS
LC591099.1,,Bos taurus,Wa_P8,0.9669117647058824,PASS
LC591101.1,,Bos taurus,Wa_P8,0.9595588235294118,PASS
LC553587.1,,Bos taurus,DS1_P4,1.0,PASS
LC553609.1,,Bos taurus,DS1_P4,1.0,PASS
LC553631.1,,Bos taurus,DS1_P4,1.0,PASS
KX655531.1,,Bos taurus,Wa_P8,1.0,PASS
JX971572.1,,Bos taurus,DS1_P4,1.0,PASS
JF990808.1,,Bos taurus,DS1_P4,1.0,PASS
JF990820.1,,Bos taurus,DS1_P4,1.0,PASS
JF990831.1,,Bos taurus,Wa_P8,1.0,PASS
JF693029.1,,Bos taurus,DS1_P4,1.0,PASS
JF693040.1,,Bos taurus,DS1_P4,1.0,PASS
JF693051.1,,Bos taurus,DS1_P4,1.0,PASS
JF693062.1,,Bos taurus,DS1_P4,1.0,PASS
JN831212.1,,Bos taurus,DS1_P4,1.0,PASS
JN831223.1,,Bos taurus,DS1_P4,1.0,PASS
JN831234.1,,Bos taurus,DS1_P4,1.0,PASS
HQ844008.1,,Bos taurus,DS1_P4,1.0,PASS
HQ844019.1,,Bos taurus,DS1_P4,1.0,PASS
GQ225825.1,,Bos taurus,DS1_P4,1.0,PASS
GQ225826.1,,Bos taurus,DS1_P4,1.0,PASS
GQ225827.1,,Bos taurus,DS1_P4,1.0,PASS
GQ225828.1,,Bos taurus,DS1_P4,1.0,PASS
GQ225829.1,,Bos taurus,DS1_P4,1.0,PASS
GQ225830.1,,Bos taurus,DS1_P4,1.0,PASS
MG407648.1,rj24598,Human,Wa_P8,1.0,PASS
MG590357.1,RVA/Human-wt/BRA/PB1048/2010/P[9],Human,DS1_P4,0.9301470588235294,PASS
MG590359.1,RVA/Human-wt/BRA/PB1301/2010/P[9],Human,DS1_P4,0.9301470588235294,PASS
KR632621.1,,Human,DS1_P4,1.0,PASS
HG513048.1,ID30378,Human,Wa_P8,1.0,PASS
JF793937.1,,Human,DS1_P4,0.9742647058823529,PASS
JF793939.1,,Human,DS1_P4,0.9779411764705882,PASS
JF793940.1,,Human,DS1_P4,0.9779411764705882,PASS
